CD,STN,ITEMNO,REGISTRATIONDATE,PASSDATE,RELEASEDATE,TIME,CPC,CONSIGNEEPIN,CONSIGNEENAME,AGENTPIN,AGENTNAME,CONSIGNORNAME,IDFNUMBER,CON,COO,CFS,z,PRODUCTDESCRIPTION,BRAND,SIZE_AH,GRADE,ITEMGROSSWEIGHT,ITEMNETWEIGHT,QUANTITY,UNIT_WEIGHT,CUSTOMSVALUE,FOBVALUE,FOBINVOICEAMOUNT,DECLARED_PRICE,AVG_PRICE,FOBCURRENCYCODE,UNIT,IMPORTDUTY,EXCISEDUTY,VAT,EXPORTDUTY,TAXCOMPUTED,TAXREMITTED,DUTYRATE,VATRATE,EXCISERATE,CURRENCY,EXCHANGERATE
2020ICD257522,ICD,17,15-Dec-20,15-Dec-20,15-Dec-20,0,C400,P051767235P    ,UNITY SHIPPING AND FREIGHT COMPANY LIMIT,P051335340W    ,JOPUKA LOGISTIC LIMITED,HENG TAI CHANG TRADING LIMITED,0EMKIM000120250,CN ,CN ,ICD ,85071000,MOTORCYCLE 12V7N BATTERY,UNKNOWN,,MOTORCYCLE,420,400,200,2,45896,400,44632,223,,USD,u ,11474,0,19988,0,48542,0,25,14,0,USD,109
2020ICD257370,ICD,4,14-Dec-20,15-Dec-20,17-Dec-20,3,C400,P000595101M    ,CMC MOTORS GROUP LIMITED,P051135829Z    ,DAMCO LOGISTICS KENYA LIMITED,FORD INTERNATIONAL SERVICES,0EMKIM000124068,AE ,ZA ,ICD ,85071000,FORD AUTOMOTIVE SPARE PARTS:-BATTERY,UNKNOWN,,MV,736,736,27,27,611999,5178,577804,21400,,USD,u ,153000,0,220855,0,536362,0,25,14,0,USD,112
2020ICD256369,ICD,2,09-Dec-20,09-Dec-20,10-Dec-20,1,C400,P051359600B    ,NEW TITANIC JACARANDA GENERAL SPARES LIM,P051159788V    ,VASTERGUARD TRADING COMPANY LIMITED,"YOG AUTO MOBILE PARTS CO.,LIMITED",0EMKIM000127334,CN ,CN ,ICD ,85071000,"RHINOPART MOTORCYCLE BATTERY 12N5, 12N3L-BS/ACE CB125/12N3A, 12N7A-BS, 12N2.5 ",UNKNOWN,,MOTORCYCLE,5327,5327,5000,1,689555,5250,577945,116,,USD,u ,172389,0,41993,0,101983,0,25,14,0,USD,112
2020ICD259467,ICD,3,23-Dec-20,23-Dec-20,24-Dec-20,1,C400,P051588880C    ,NGUVU RIDING CENTER LIMITED,P051335340W    ,JOPUKA LOGISTIC LIMITED,GUANGZHOU ESOO MOTORCYCLE ACCESSORIES,0EMKIM000134311,CN ,CN ,ICD ,85071000,MOTORCYCLE 12N9-BS BATTERY,UNKNOWN,,MOTORCYCLE,1650,1600,600,3,146686,1200,134006,223,,USD,u ,36671,0,12255,0,29762,0,25,14,0,USD,109
2020ICD257736,ICD,35,16-Dec-20,17-Dec-20,23-Dec-20,7,C400,P051958501N    ,MOTOTIVE LIMITED,P051232338S    ,MULTIPLE SOLUTIONS LIMITED,SABA AUTO SPARE PARTS TRADING,0EMKIM000174578,AE ,AE ,ICD ,85071000,AUTO SPARE PARTS -SEBANG SMF N 170L BATTERY,UNKNOWN,,UNKNOWN,1500,1500,150,10,2006914,17589,1962606,13084,,USD,u ,501729,0,8795,0,21359,0,25,14,0,USD,109
2020ICD257736,ICD,36,16-Dec-20,17-Dec-20,23-Dec-20,7,C400,P051958501N    ,MOTOTIVE LIMITED,P051232338S    ,MULTIPLE SOLUTIONS LIMITED,SABA AUTO SPARE PARTS TRADING,0EMKIM000174578,AE ,AE ,ICD ,85071000,AUTO SPARE PARTS -EUROPART N120/170 BATTERY,UNKNOWN,,UNKNOWN,1500,1500,150,10,1837766,16107,1797193,11981,,USD,u ,459442,0,25670,0,62341,0,25,14,0,USD,112
2020ICD260201,ICD,1,28-Dec-20,28-Dec-20,29-Dec-20,1,C400,P051406018T    ,SIMON PURE K LIMITED,P051234813P    ,SONGHONG FREIGHT SERVICES LIMITED,YOG AUTO MOBILE PARTS CO LTD ,0EMKIM000177788,CN ,CN ,ICD ,85071000,MOTORCYCLE SPARE PARTS - BATTERY MF,UNKNOWN,,MOTORCYCLE,7068,6745,3904,2,1087237,9760,1062749,272,,USD,u ,271809,0,32081,0,77911,0,25,14,0,USD,109
2020ICD255263,ICD,1,04-Dec-20,07-Dec-20,17-Dec-20,13,C400,P051579714N    ,ANYTIME LIMITED,P051378490T    ,INDUS LOGISTICS LIMITED,SUNSHINE ENTERPRISES,0MBAIM000434836,IN ,IN ,ICD ,10064000,6X20 CONTAINING LONG GRAIN INDIAN WHITE RICE KENYA KING BRAND GRADE 2 MEDU1956924 MEDU5758085 TEMU0057737,KENYA KING,NA,2,159700,159000,159000,1,7254185,51834,5706130,36,,USD,kg,3500687,0,0,0,3500687,0,35,0,0,USD,110
2020ICD257394,ICD,30,14-Dec-20,18-Dec-20,18-Dec-20,4,C400,P051654805E    ,PIKI TRADING COMPANY LIMITED,P051378490T    ,INDUS LOGISTICS LIMITED,"HONGKONG JIABEN TRADE CO.,LIMITED.",0MBAIM000435905,CN ,CN ,ICD ,85071000,4X40 CONTAINING:-PRO HERO BRAND MOTORCYCLE ACCESSORIES -BATTERY      MRKU6302737.   ,PRO HERO,,MOTORCYCLE,8345,8345,5000,2,1262027,10000,1115812,223,,USD,u ,315507,0,16790,0,40775,0,25,14,0,USD,109
2020MSA7706538,MSA,3,21-Dec-20,21-Dec-20,28-Dec-20,7,C400,P051397008D    ,ALBA AUTOPARTS LIMITED,P051153426Z    ,WESTON LOGISTICS LIMITED,MUTLU AKU VE MALZEMELERI SANAYII AS,0MBAIM000446270,TR ,TR ,BFT ,85071000,36 PCS MUTLU BRAND AUTOMOTIVE STARTER BATTERIES 12V 100AH L5.100.083.A,MUTLU,,MV,869,869,36,24,220519,1920,214263,5952,,USD,u ,55130,0,262062,0,636436,0,25,14,0,USD,112
2020MSA7706538,MSA,7,21-Dec-20,21-Dec-20,28-Dec-20,7,C400,P051397008D    ,ALBA AUTOPARTS LIMITED,P051153426Z    ,WESTON LOGISTICS LIMITED,MUTLU AKU VE MALZEMELERI SANAYII AS,0MBAIM000446270,TR ,TR ,BFT ,85071000,120 PCS MUTLU BRAND AUTOMOTIVE STARTER BATTERIES 12V 180AH D5.180.120.B,MUTLU,,MV,5715,5715,120,48,1497497,13044,1455432,12129,,USD,u ,374374,0,143552,0,348626,0,25,14,0,USD,112
2020MSA7706538,MSA,9,21-Dec-20,21-Dec-20,28-Dec-20,7,C400,P051397008D    ,ALBA AUTOPARTS LIMITED,P051153426Z    ,WESTON LOGISTICS LIMITED,MUTLU AKU VE MALZEMELERI SANAYII AS,0MBAIM000446270,TR ,TR ,BFT ,85071000,54 PCS MUTLU BRAND AUTOMOTIVE STARTER BATTERIES 12V 225AH 1D6.225.140.B,MUTLU,,MV,3294,3294,54,61,820296,7143,797025,14760,,USD,u ,205074,0,60352,0,146569,0,25,14,0,USD,112
2020MSA7706538,MSA,5,21-Dec-20,21-Dec-20,28-Dec-20,7,C400,P051397008D    ,ALBA AUTOPARTS LIMITED,P051153426Z    ,WESTON LOGISTICS LIMITED,MUTLU AKU VE MALZEMELERI SANAYII AS,0MBAIM000446270,TR ,TR ,BFT ,85071000,120 PCS MUTLU BRAND AUTOMOTIVE STARTER BATTERIES 12V 150AH 1D5.150.100.B,MUTLU,,MV,4995,4995,120,42,1324188,11531,1286621,10722,,USD,u ,331047,0,85957,0,208753,0,25,14,0,USD,112
2020MSA7706538,MSA,8,21-Dec-20,21-Dec-20,28-Dec-20,7,C400,P051397008D    ,ALBA AUTOPARTS LIMITED,P051153426Z    ,WESTON LOGISTICS LIMITED,MUTLU AKU VE MALZEMELERI SANAYII AS,0MBAIM000446270,TR ,TR ,BFT ,85071000,36 PCS MUTLU BRAND AUTOMOTIVE STARTER BATTERIES 12V 200AH 1D6.200.125.B,PARBOILED RICE,,MV,2052,2052,36,57,491186,4277,477251,13257,,USD,u ,122796,0,61396,0,149105,0,25,14,0,USD,112
2020MSA7706538,MSA,2,21-Dec-20,21-Dec-20,28-Dec-20,7,C400,P051397008D    ,ALBA AUTOPARTS LIMITED,P051153426Z    ,WESTON LOGISTICS LIMITED,MUTLU AKU VE MALZEMELERI SANAYII AS,0MBAIM000446270,TR ,TR ,BFT ,85071000,54 PCS MUTLU BRAND AUTOMOTIVE STARTER BATTERIES 12V 70AH D26.70.063.A,MUTLU,,MV,993,993,54,18,249355,2171,242281,4487,,USD,u ,62339,0,95753,0,232544,0,25,14,0,USD,112
2020MSA7706538,MSA,4,21-Dec-20,21-Dec-20,28-Dec-20,7,C400,P051397008D    ,ALBA AUTOPARTS LIMITED,P051153426Z    ,WESTON LOGISTICS LIMITED,MUTLU AKU VE MALZEMELERI SANAYII AS,0MBAIM000446270,TR ,TR ,BFT ,85071000,60 PCS MUTLU BRAND AUTOMOTIVE STARTER BATTERIES 12V 120AH 1D4.120.080.A,MUTLU,,MV,2064,2064,60,34,547163,4765,531640,8861,,USD,u ,136791,0,197734,0,480211,0,25,14,0,USD,112
2020MSA7706538,MSA,6,21-Dec-20,21-Dec-20,28-Dec-20,7,C400,P051397008D    ,ALBA AUTOPARTS LIMITED,P051153426Z    ,WESTON LOGISTICS LIMITED,MUTLU AKU VE MALZEMELERI SANAYII AS,0MBAIM000446270,TR ,TR ,BFT ,85071000,96 PCS MUTLU BRAND AUTOMOTIVE STARTER BATTERIES 12V 165AH 1D5.165.110.B,MUTLU,,MV,4255,4255,96,44,1129908,9839,1097852,11436,,USD,u ,282477,0,475535,0,1154871,0,25,14,0,KES,1
2020MSA7706538,MSA,1,21-Dec-20,21-Dec-20,28-Dec-20,7,C400,P051397008D    ,ALBA AUTOPARTS LIMITED,P051153426Z    ,WESTON LOGISTICS LIMITED,MUTLU AKU VE MALZEMELERI SANAYII AS,0MBAIM000446270,TR ,TR ,BFT ,85071000,1X20 CONT 84 PCS MAXIBAT BRAND AUTOMOTIVE STARTER BATTERIES 12V 45AH FB24.45.030.E,MAXIBAT,,MV,1018,1018,84,12,275810,2402,268063,3191,,USD,u ,68953,0,127158,0,308812,0,25,14,0,USD,112
2020MSA7702101,MSA,4,14-Dec-20,14-Dec-20,14-Dec-20,0,C400,P051955859E    ,DRIGOP TRADERS,P051311817K    ,HANGOOL INVESTMENT GROUP LIMITED,UNITED GLORY HOLDINGS LIMITED,0MBAIM000482437,CN ,CN ,FOC ,85071000,CAR BATTERIES,UNKNOWN,,MV,1500,1500,150,10,295903,2600,289021,1927,,USD,u ,73976,0,89631,0,217675,0,25,14,0,USD,112
2020MSA7702747,MSA,11,15-Dec-20,15-Dec-20,15-Dec-20,0,C400,P051896549B    ,VIRISHA TRADERS,P051311817K    ,HANGOOL INVESTMENT GROUP LIMITED,GUANGZHOU JINGLING TRADE CO.LTD,0MBAIM000491887,CN ,CN ,FOC ,85071000,CAR BATTERY,UNKNOWN,,MV,1760,1760,825,2,739811,6500,725278,879,,USD,u ,184953,0,284694,0,793076,508382,25,14,0,USD,112
2020MSA7702928,MSA,5,15-Dec-20,15-Dec-20,16-Dec-20,1,C400,P051760908D    ,BIZBAN LIMITED,P051437832H    ,SUNRISE INVESTMENT GROUP LIMITED,HENGTAI CHANG TRADING LIMITED,0MBAIM000503560,CN ,CN ,BFT ,85071000,BATTERY,UNKNOWN,,UNKNOWN,3720,3720,1200,3,216337,1810,201203,168,,USD,u ,54084,0,63874,0,177934,114060,25,14,0,USD,112
2020MSA7707730,MSA,1,22-Dec-20,28-Dec-20,28-Dec-20,6,C400,P051194888Z    ,BUROOJ AUTO SPARES LIMITED,P051505692Q    ,WICKHAM BROS CO LIMITED,JINHUA JUJIANG TRADE CO LTD,0MBAIM000523383,CN ,CN ,AUT ,85071000,1X20FT STC AUTOMOTIVE VISCA POWER CAR BATTERY,VISCA,,MV,22123,21736,945,23,4270430,36060,4026885,4261,,USD,u ,1067608,0,41412,0,100571,0,25,14,0,USD,112
2020MSA7707730,MSA,2,22-Dec-20,28-Dec-20,28-Dec-20,6,C400,P051194888Z    ,BUROOJ AUTO SPARES LIMITED,P051505692Q    ,WICKHAM BROS CO LIMITED,JINHUA JUJIANG TRADE CO LTD,0MBAIM000523383,CN ,CN ,AUT ,85071000,AUTOMOTIVE GOLD STAR CAR BATTERY,GOLD STAR,,MV,2220,2175,150,15,350836,2963,330828,2206,,USD,u ,87709,0,66718,0,162030,0,25,14,0,USD,112
2020MSA7704396,MSA,1,17-Dec-20,17-Dec-20,17-Dec-20,0,C400,P051818207K    ,HANAN COMMODITIES LIMITED,P051437914D    ,AIR MENZIES INTERNATIONAL,R B INTERNATIONAL,0MBAIM000538996,PK ,PK ,BFT ,10063000,10X20 STC PAKISTAN LONG GRAIN WHITE RICE GRADE 1 HANA BRAND.,HANAN,NA,1,250800,250000,250000,1,10605774,90000,10042308,40,,USD,kg,5579050,0,0,0,5579050,0,35,0,0,USD,112
2020MSA7705437,MSA,1,18-Dec-20,18-Dec-20,29-Dec-20,11,C400,P051534443C    ,HIGHRISE COMMONDITIES LIMITED,P051437914D    ,AIR MENZIES INTERNATIONAL,AL ASAD RICE MILLS,0MBAIM000542359,PK ,PK ,CNT ,10063000,10X20 STC PAKISTAN LONG GRAIN WHITE RICE GRADE 1 FATMA BRAND.,FATMA,NA,1,259644,257000,257000,1,12909922,110510,12330838,48,,USD,kg,5735263,0,0,0,5735263,0,35,0,0,USD,112
2020MSA7710373,MSA,4,28-Dec-20,28-Dec-20,28-Dec-20,0,C400,P051955859E    ,DRIGOP TRADERS,P051311817K    ,HANGOOL INVESTMENT GROUP LIMITED,UNITED GLORY HOLDINGS LIMITED,0MBAIM000545518,CN ,CN ,FOC ,85071000,CAR BATTERIES,UNKNOWN,,MV,1800,1800,150,12,344869,3000,335015,2233,,USD,u ,86217,0,50829,0,123443,0,25,14,0,USD,108
2020MSA7699738,MSA,5,10-Dec-20,10-Dec-20,16-Dec-20,6,C400,P051760908D    ,BIZBAN LIMITED,P051437832H    ,SUNRISE INVESTMENT GROUP LIMITED,HK XINLIHANG LOCOMOTIVE PARTS AND COMPON,0MBAIM000545684,CN ,CN ,BFT ,85071000,BATTERY,UNKNOWN,,UNKNOWN,3620,3620,1200,3,97580,810,90041,75,,USD,u ,24395,0,154115,0,429320,275205,25,14,0,EUR,135
